epoch,train_loss,val_loss,val_mean_auc,lr,seconds
1,1.0108052216180254,0.8863823445278821,0.6663750945023448,0.001,100.84659934043884
2,0.9498407781139278,0.8346546574051995,0.6897236948404737,0.001,97.18453550338745
3,0.8907312612077475,0.7882945075097955,0.7687677428005281,0.0001,129.68240809440613
4,0.8217476581047279,0.7641320009689546,0.7920317046626781,0.0001,98.95269799232483
5,0.7612784395567245,0.7526014954581324,0.7928215493764155,0.0001,98.8778178691864
6,0.7044659385211715,0.755542798792126,0.7763951042064071,0.0001,98.69581270217896
7,0.6508089626026469,0.7359076316298289,0.8015019367018111,0.0001,96.96211910247803
8,0.5883882251352307,0.7687226623689613,0.7932960792515253,0.0001,101.91267991065979
9,0.522755843109831,0.7565137420670461,0.7970469367110627,0.0001,98.4341127872467
10,0.43988456557161537,0.7728107667014199,0.7877653179457663,3e-05,97.11485838890076
11,0.4067951162044585,0.805410657562105,0.7855863480564145,3e-05,98.24337553977966
